metabolite	biomass_generic	protein	rna	dna	lipid	ch2o
ala_L[c]	-0.5056260	1	0	0	0	0
arg_L[c]	-0.3592600	1	0	0	0	0
asn_L[c]	-0.2794250	1	0	0	0	0
asp_L[c]	-0.3526070	1	0	0	0	0
cys_L[c]	-0.0465710	1	0	0	0	0
gln_L[c]	-0.3259960	1	0	0	0	0
glu_L[c]	-0.3858720	1	0	0	0	0
gly[c]	-0.5388910	1	0	0	0	0
his_L[c]	-0.1264060	1	0	0	0	0
ile_L[c]	-0.2860780	1	0	0	0	0
leu_L[c]	-0.5455440	1	0	0	0	0
lys_L[c]	-0.5921140	1	0	0	0	0
met_L[c]	-0.1530180	1	0	0	0	0
phe_L[c]	-0.2594660	1	0	0	0	0
pro_L[c]	-0.4124840	1	0	0	0	0
ser_L[c]	-0.3925250	1	0	0	0	0
thr_L[c]	-0.3126900	1	0	0	0	0
trp_L[c]	-0.0133060	1	0	0	0	0
tyr_L[c]	-0.1596710	1	0	0	0	0
val_L[c]	-0.3526070	1	0	0	0	0
datp[n]	-0.0131830	0	0	0	0	0
dctp[n]	-0.0094420	0	0	0	0	0
dgtp[n]	-0.0098980	0	0	0	0	0
dttp[n]	-0.0130910	0	0	0	0	0
ctp[c]	-0.0390360	0	1	0	0	0
gtp[c]	-0.0361170	0	1	0	0	0
utp[c]	-0.0534460	0	1	0	0	0
chsterol[c]	-0.0204010	0	0	0	1	0
pail_hs[c]	-0.0233150	0	0	0	1	0
pglyc_hs[c]	-0.0029140	0	0	0	1	0
clpn_hs[c]	-0.0116580	0	0	0	1	0
ps_hs[c]	-0.0058290	0	0	0	1	0
pe_hs[c]	-0.0553740	0	0	0	1	0
sphmyln_hs[c]	-0.0174860	0	0	0	1	0
atp[c]	-0.053628	0	1	0	0	0
atp[c]	-20.650823	0	0	0	0	0
h2o[c]	-20.650823	0	0	0	0	0
pchol_hs[c]	-0.1544630	0	0	0	1	0
g6p[c]	-0.275194	0	0	0	0	1
adp[c]	20.650823	0	0	0	0	0
h[c]	20.650823	0	0	0	0	0
pi[c]	20.650823	0	0	0	0	0
